

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN
?               |15815|BATTERY LIPO LITHIUM-ION POLYMER 11.1V 2200MAH W/CHARGER        |BAT-LIPO-12V-C  |  $69.95|EACH    |   0
TL-5101/P       | 9910|BATTERY LITHIUM 3.6V MEMORY BACK-UP 1/2 AA AXIAL LEADS (OS) CHEM|5101            |   $5.25|EACH    |   0
TL-5101/SBP     |11618|BATTERY LITHIUM 3.6V MEMORY BACKUP 1/2AA PRESSURE CONTACTS (OS) |1/2AA           |   $5.95|EACH    |   6
TL-5104/SBP     |12945|BATTERY LITHIUM 3.6V MEMORY BACKUP AA 2100MAH PRESSURE CONTACTS |AA-BAT-LITHIUM  |   $6.95|EACH    |   3


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.442
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

CR2016          | 7990|BATTERY LITHIUM CAL/WATCH 3V CR2016                 (OS) CHEMICA|CR2016          |   $0.60|EACH    |  15
BR2325          | 8767|BATTERY LITHIUM COIN 3.0V                           (OS) CHEMICA|2325            |   $2.41|EACH    |   0
BR2325          | 7264|BATTERY LITHIUM COIN 3V                             (OS) CHEMICA|2325            |   $2.35|EACH    |   0
CR1632          |16169|BATTERY LITHIUM COIN 3V 130MA CR1632                            |CR1632          |   $1.50|EACH    |  10
CR2032          | 7263|BATTERY LITHIUM COIN 3V 225MAH CR2032               (OS) CHEMICA|CR2032          |   $0.50|EACH    | 192
CR2012          |10421|BATTERY LITHIUM COIN 3V 55MA CR2012                 (OS) CHEMICA|CR2012          |   $1.95|EACH    |   4
CR2025          | 9145|BATTERY LITHIUM COIN 3V CR2025                      (OS) CHEMICA|CR2025          |   $0.60|EACH    |  15
